Epochs,Training Time (s),FLOPs (NN),FLOPs (Runge-Kutta)
2000,36.19705867767334,3640.0,6000
2000,56.687660217285156,3640.0,7200
2000,36.19659662246704,3640.0,8400
2000,39.41405463218689,3640.0,9600
2000,38.497756242752075,3640.0,10800
2000,66.14826655387878,3640.0,12000
200,3.7104837894439697,3640.0,12000
