Epochs,Training Time (s),FLOPs (NN),FLOPs (Runge-Kutta),Math Solution Time (s),Model Test Time (s)
1000,33.59271717071533,10920000000.0,12000,0.0175325870513916,0.012668371200561523
1000,31.08558440208435,10920000000.0,12000,0.015357494354248047,0.007443666458129883
